order_month,delivered_orders,active_customers,item_revenue_brl,average_order_value_brl,revenue_mom_pct,orders_mom_pct,coverage_note
2016-09,1,1,134.97,134.97,,,Full historical month in source
2016-10,265,262,40325.11,152.17,29777.1,26400.0,Full historical month in source
2016-12,1,1,10.9,10.9,-100.0,-99.6,Full historical month in source
2017-01,750,718,111798.36,149.06,1025573.0,74900.0,Full historical month in source
2017-02,1653,1630,234223.4,141.7,109.5,120.4,Full historical month in source
2017-03,2546,2508,359198.85,141.08,53.4,54.0,Full historical month in source
2017-04,2303,2274,340669.68,147.92,-5.2,-9.5,Full historical month in source
2017-05,3546,3479,489338.25,138.0,43.6,54.0,Full historical month in source
2017-06,3135,3076,421923.37,134.58,-13.8,-11.6,Full historical month in source
2017-07,3872,3802,481604.52,124.38,14.1,23.5,Full historical month in source
2017-08,4193,4114,554699.7,132.29,15.2,8.3,Full historical month in source
2017-09,4150,4083,607399.67,146.36,9.5,-1.0,Full historical month in source
2017-10,4478,4417,648247.65,144.76,6.7,7.9,Full historical month in source
2017-11,7289,7183,987765.37,135.51,52.4,62.8,Full historical month in source
2017-12,5513,5450,726033.19,131.69,-26.5,-24.4,Full historical month in source
2018-01,7069,6974,924645.0,130.8,27.4,28.2,Full historical month in source
2018-02,6555,6400,826437.13,126.08,-10.6,-7.3,Full historical month in source
2018-03,7003,6914,953356.25,136.14,15.4,6.8,Full historical month in source
2018-04,6798,6744,973534.09,143.21,2.1,-2.9,Full historical month in source
2018-05,6749,6693,977544.69,144.84,0.4,-0.7,Full historical month in source
2018-06,6099,6061,856077.86,140.36,-12.4,-9.6,Full historical month in source
2018-07,6159,6100,867953.46,140.92,1.4,1.0,Full historical month in source
2018-08,6351,6310,838576.64,132.04,-3.4,3.1,Latest observed month: interpret with care
