seller_revenue_rank,seller_id,seller_state,delivered_orders,delivered_units,item_revenue_brl,average_item_price_brl,seller_revenue_share_pct,cumulative_revenue_share_pct
1,4869f7a5dfa277a7dca6462dcf3b52b2,SP,1124,1148,226987.93,197.72,1.72,1.72
2,53243585a1d6dc2643021fd1853d8905,BA,348,400,217940.44,544.85,1.65,3.37
3,4a3ca9315b744ce9f8e9374361493884,SP,1772,1949,196882.12,101.02,1.49,4.85
4,fa1c13f2614d7b5c4749cbc52fecda94,SP,578,579,190917.14,329.74,1.44,6.3
5,7c67e1448b00f6e969d365cea6b010ab,SP,973,1355,186570.05,137.69,1.41,7.71
6,7e93a43ef30c4f03f38b393420bc753a,SP,319,322,165981.49,515.47,1.26,8.96
7,da8622b14eb17ae2831f4ac5b9dab84a,SP,1311,1548,159816.87,103.24,1.21,10.17
8,7a67c85e85bb2ce8582c35f2203ad736,SP,1145,1155,139658.69,120.92,1.06,11.23
9,1025f0e2d44d7041d6cf58b6550e0bfa,SP,910,1420,138208.56,97.33,1.05,12.28
10,955fee9216a65b617aa5c0531780ce60,SP,1261,1472,131836.71,89.56,1.0,13.27
11,46dc3b2cc0980fb8ec44634e21d2718e,RJ,503,523,122811.38,234.82,0.93,14.2
12,6560211a19b47992c3666cc44a7e94c0,SP,1819,1996,120702.83,60.47,0.91,15.11
13,620c87c171fb2a6dd6e8bb4dec959fc6,RJ,722,778,112461.5,144.55,0.85,15.96
14,7d13fca15225358621be4086e1eb0964,SP,558,571,112436.18,196.91,0.85,16.82
15,5dceca129747e92ff8ef7a997dc4f8ca,SP,322,343,111126.73,323.98,0.84,17.66
16,1f50f920176fa81dab994f9023523100,SP,1399,1926,106655.71,55.38,0.81,18.46
17,cc419e0650a3c5ba77189a1882b7556a,SP,1651,1719,101090.96,58.81,0.76,19.23
18,a1043bafd471dff536d0c462352beb48,MG,702,752,99309.23,132.06,0.75,19.98
19,3d871de0142ce09b7081e2b9d1733cb1,SP,1064,1131,93407.4,82.59,0.71,20.68
20,edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,165,174,79144.9,454.86,0.6,21.28
