opportunity_rank,seller_id,order_month,previous_month_orders,delivered_orders,order_growth_pct,previous_month_revenue_brl,item_revenue_brl,revenue_growth_pct,recommended_diagnostic
1,2eb70248d66e0e3ef83659f71b244378,2018-04,8,24,200.0,5013.0,3245.4,-35.3,"Review mix, pricing, and traffic quality"
2,850f4f8af5ea87287ac68de36e29107f,2017-11,15,30,100.0,6907.96,3915.11,-43.3,"Review mix, pricing, and traffic quality"
3,4869f7a5dfa277a7dca6462dcf3b52b2,2018-02,72,87,20.8,19954.2,18563.8,-7.0,"Review mix, pricing, and traffic quality"
4,855668e0971d4dfd7bef1b6a4133b41b,2018-01,18,31,72.2,3275.95,2785.9,-15.0,"Review mix, pricing, and traffic quality"
5,46dc3b2cc0980fb8ec44634e21d2718e,2017-07,16,26,62.5,6664.66,5804.77,-12.9,"Review mix, pricing, and traffic quality"
6,4869f7a5dfa277a7dca6462dcf3b52b2,2018-04,113,122,8.0,24754.0,20386.5,-17.6,"Review mix, pricing, and traffic quality"
7,2a84855fd20af891be03bc5924d2b453,2018-06,20,29,45.0,2507.6,1835.7,-26.8,"Review mix, pricing, and traffic quality"
8,620c87c171fb2a6dd6e8bb4dec959fc6,2018-01,53,62,17.0,7510.2,6872.6,-8.5,"Review mix, pricing, and traffic quality"
9,05d2173d43ea568aa0540eba70d2ca76,2018-02,10,19,90.0,1505.11,1365.16,-9.3,"Review mix, pricing, and traffic quality"
10,7178f9f4dd81dcef02f62acdf8151e01,2017-09,12,20,66.7,3357.3,2452.6,-26.9,"Review mix, pricing, and traffic quality"
11,7c67e1448b00f6e969d365cea6b010ab,2017-11,58,66,13.8,14875.53,14010.12,-5.8,"Review mix, pricing, and traffic quality"
12,850f4f8af5ea87287ac68de36e29107f,2017-12,30,38,26.7,3915.11,3420.79,-12.6,"Review mix, pricing, and traffic quality"
13,92eb0f42c21942b6552362b9b114707d,2017-04,23,31,34.8,935.85,570.65,-39.0,"Review mix, pricing, and traffic quality"
14,76d5af76d0271110f9af36c92573f765,2018-01,9,17,88.9,3115.15,2884.64,-7.4,"Review mix, pricing, and traffic quality"
15,7299e27ed73d2ad986de7f7c77d919fa,2017-10,17,24,41.2,2749.95,2126.89,-22.7,"Review mix, pricing, and traffic quality"
16,0241d4d5d36f10f80c644447315af0bd,2018-07,29,36,24.1,5209.7,5065.2,-2.8,"Review mix, pricing, and traffic quality"
17,a416b6a846a11724393025641d4edd5e,2018-03,12,19,58.3,2445.62,2316.4,-5.3,"Review mix, pricing, and traffic quality"
18,6973a06f484aacf400ece213dbf3d946,2018-03,17,24,41.2,2577.76,2458.87,-4.6,"Review mix, pricing, and traffic quality"
19,fa1c13f2614d7b5c4749cbc52fecda94,2017-02,5,11,120.0,3745.0,1984.4,-47.0,"Review mix, pricing, and traffic quality"
20,6560211a19b47992c3666cc44a7e94c0,2018-03,71,77,8.5,4522.97,4157.0,-8.1,"Review mix, pricing, and traffic quality"
21,b4ffb71f0cb1b1c3d63fad021ecf93e1,2017-11,8,14,75.0,739.16,377.54,-48.9,"Review mix, pricing, and traffic quality"
22,8f2ce03f928b567e3d56181ae20ae952,2018-07,10,16,60.0,2594.4,2284.2,-12.0,"Review mix, pricing, and traffic quality"
23,31561f325664a8a7aba4c8d0c3a9b3db,2018-07,10,16,60.0,1185.97,1040.76,-12.2,"Review mix, pricing, and traffic quality"
24,fa1c13f2614d7b5c4749cbc52fecda94,2018-06,33,39,18.2,12180.29,12056.54,-1.0,"Review mix, pricing, and traffic quality"
25,70c27847eca8195c983ed7e798c56743,2018-08,15,21,40.0,2867.67,2753.75,-4.0,"Review mix, pricing, and traffic quality"
26,45ba18c210d42734ec52c0c1c574e9ee,2018-05,8,14,75.0,1386.42,1287.26,-7.2,"Review mix, pricing, and traffic quality"
27,77530e9772f57a62c906e1c21538ab82,2017-10,7,13,85.7,1381.9,1325.9,-4.1,"Review mix, pricing, and traffic quality"
28,8c16d1f32a54d92897cc437244442e1b,2017-11,7,13,85.7,648.08,610.82,-5.7,"Review mix, pricing, and traffic quality"
29,5d0363b33554b373851fc1622e4d5f3c,2018-05,11,17,54.5,936.3,926.6,-1.0,"Review mix, pricing, and traffic quality"
30,87142160b41353c4e5fca2360caf6f92,2018-07,17,22,29.4,2584.6,1738.5,-32.7,"Review mix, pricing, and traffic quality"
